Gerardo Reichel-Dolmatoff, Jorge Araque M., Fred A. Barkley	fix2019 Gerardo Reichel-Dolmatoff, Jorge Araque M., Fred A. Barkley	1
W. G. Farlow, H. W. Richards, W. A. Setchell	fix2019 W. G. Farlow, H. W. Richards, W. A. Setchell	1
C. S. Nielsen, H. J. Humm	fix2019 C. S. Nielsen, H. J. Humm	1
T. B. Widdowson, L. Druehl, R. Lee, P. Healey	fix2019 T. B. Widdowson, L. Druehl, R. Lee, P. Healey	1
M. Gómez, H. Méndez	fix2019 M. Gómez, H. Méndez	3
Cyn Dartez, Lani Jacobs, Sharon Gray, Ross Durland, Kyle Basinger, Joanna R. Leung, Thomas Grohman, Patrick Kelly, Nina K. Abbott, Ted Krum	fix2019 Cyn Dartez, Lani Jacobs, Sharon Gray, Ross Durland, Kyle Basinger, Joanna R. Leung, Thomas Grohman, Patrick Kelly, Nina K. Abbott, Ted Krum	1
D. Nande, A. V. Duthie	fix2019 D. Nande, A. V. Duthie	1
Victor Johnston, J. W. Durham	fix2019 Victor Johnston, J. W. Durham	3
Smithsonian Oceanographic Sorting Center, Menez & Shinn	fix2019 Smithsonian Oceanographic Sorting Center, Menez & Shinn	11
A. Brown, H. B. S. Womersley	fix2019 A. Brown, H. B. S. Womersley	1
H. E. Parks, H. E. Parks	fix2019 H. E. Parks, H. E. Parks	1
